                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3203,                 1.9596,                 1.3701,                 0.8026,                0.83025,                0.88538,                0.50599,                  1.341,                 1.6886,                 1.3436,             0.00055206,             0.00055206,             0.00055206
                      2,                 1.1711,                 1.2836,                 1.2525,                0.64656,                0.78887,                0.76585,                0.51132,                 1.1608,                 1.3513,                 1.2265,              0.0010858,              0.0010858,              0.0010858
                      3,                 1.1496,                 1.0981,                 1.2329,                0.77964,                0.91536,                0.89174,                0.61122,                 1.1131,                 1.1425,                 1.2338,              0.0015975,              0.0015975,              0.0015975
                      4,                  1.129,                0.96545,                 1.2327,                0.81154,                0.84646,                0.91568,                0.62692,                  1.155,                0.89568,                 1.2331,               0.001568,               0.001568,               0.001568
                      5,                 1.0867,                0.89785,                 1.2174,                0.85355,                0.93678,                0.92014,                0.66965,                0.99979,                0.78314,                 1.1321,               0.001568,               0.001568,               0.001568
                      6,                 1.0827,                0.83757,                 1.2065,                0.74566,                0.85031,                0.90412,                0.63748,                  1.058,                0.85797,                 1.1617,               0.001535,               0.001535,               0.001535
                      7,                 1.0348,                0.76794,                 1.1878,                0.89235,                0.94198,                0.96349,                0.70561,                0.97863,                0.63438,                 1.1642,               0.001502,               0.001502,               0.001502
                      8,                 1.0018,                0.76864,                 1.1703,                0.86915,                0.93685,                0.94569,                0.70217,                0.92894,                0.62479,                 1.1122,               0.001469,               0.001469,               0.001469
                      9,                 0.9607,                0.72036,                 1.1483,                0.89849,                0.95553,                0.96612,                0.73781,                0.89358,                0.55483,                 1.0836,               0.001436,               0.001436,               0.001436
                     10,                0.97634,                 0.6973,                 1.1512,                0.90297,                 0.9537,                0.96833,                0.74101,                0.89868,                0.53173,                 1.1165,              0.0014029,              0.0014029,              0.0014029
                     11,                0.95071,                0.70021,                 1.1415,                0.85748,                0.92697,                0.95904,                0.72306,                0.91224,                0.60242,                 1.1094,              0.0013699,              0.0013699,              0.0013699
                     12,                0.94539,                 0.6697,                 1.1374,                0.89333,                0.91293,                0.96764,                0.74118,                0.89399,                0.54904,                 1.0977,              0.0013369,              0.0013369,              0.0013369
                     13,                0.94014,                 0.6499,                  1.136,                0.88263,                0.96294,                0.97248,                0.73957,                0.92647,                 0.5311,                 1.1155,              0.0013039,              0.0013039,              0.0013039
                     14,                0.92981,                0.64727,                 1.1315,                 0.9119,                0.94826,                0.97379,                0.75231,                0.90051,                0.51174,                 1.0595,              0.0012709,              0.0012709,              0.0012709
                     15,                0.91564,                0.64096,                 1.1225,                0.90807,                0.96837,                0.97638,                 0.7771,                0.83133,                0.46704,                 1.0614,              0.0012379,              0.0012379,              0.0012379
                     16,                0.90146,                0.60708,                 1.1214,                0.81895,                0.83306,                0.90783,                0.69003,                0.88188,                0.77252,                 1.1202,              0.0012049,              0.0012049,              0.0012049
                     17,                0.87434,                0.59527,                 1.1025,                0.92743,                 0.9221,                0.96922,                0.74073,                0.87843,                0.51833,                 1.1356,              0.0011719,              0.0011719,              0.0011719
                     18,                0.87441,                   0.59,                 1.1066,                0.92653,                0.93844,                0.97274,                0.75984,                0.84109,                0.48777,                 1.0694,              0.0011389,              0.0011389,              0.0011389
                     19,                 0.8606,                0.58515,                 1.1018,                 0.9254,                0.95562,                0.98175,                0.78873,                0.78542,                0.43291,                 1.0299,              0.0011059,              0.0011059,              0.0011059
                     20,                0.84885,                0.56576,                 1.0981,                0.92685,                0.95511,                0.98233,                0.78174,                0.80972,                0.44684,                  1.047,              0.0010729,              0.0010729,              0.0010729
                     21,                0.82855,                0.55538,                 1.0851,                0.94419,                0.95487,                 0.9858,                0.78916,                0.79589,                0.43731,                 1.0375,              0.0010399,              0.0010399,              0.0010399
                     22,                0.83582,                0.55918,                 1.0849,                0.93344,                 0.9574,                0.98406,                  0.787,                0.79903,                0.43917,                 1.0375,              0.0010069,              0.0010069,              0.0010069
                     23,                0.82187,                0.54337,                 1.0752,                0.94132,                0.93704,                0.98226,                0.79548,                0.77726,                0.43575,                 1.0257,             0.00097386,             0.00097386,             0.00097386
                     24,                 0.8016,                0.53027,                 1.0629,                0.93508,                0.95186,                0.98273,                0.79109,                0.75711,                0.42417,                 1.0176,             0.00094085,             0.00094085,             0.00094085
